Country,Year,Region,GiniIndex,PctIncShareFourth20,PctIncShareHighest10,PctIncShareHighest20,PctIncShareLowest10,PctIncShareLowest20,PctIncShareSecond20,PctIncShareThird20
Afghanistan,..,Asia & Pacific,,,,,,,,
Albania,2017,Europe,33.2,23.3,24.8,40.7,3.1,7.5,12,16.5
Algeria,2011,Arab States,27.6,22.3,22.9,37.2,4,9.4,13.7,17.5
American Samoa,..,Asia & Pacific,,,,,,,,
Andorra,..,Europe,,,,,,,,
Angola,2018,Africa,51.3,20.4,39.6,55.6,1.3,3.8,7.7,12.6
Antigua and Barbuda,..,South/Latin America,,,,,,,,
Argentina,2018,South/Latin America,41.4,23.2,29.9,46.5,1.8,5,9.9,15.4
Armenia,2018,Europe,34.4,20.8,29.2,43,3.3,8.1,12.2,15.9
Aruba,..,South/Latin America,,,,,,,,
Australia,2014,Asia & Pacific,34.4,22.1,27,42.1,2.8,7.4,12.2,16.1
Austria,2017,Europe,29.7,23.1,23,37.8,3,8,13.3,17.8
Azerbaijan,2005,Asia & Pacific,26.6,20.9,24.2,37.8,4.8,10.8,13.9,16.6
Bahamas,..,South/Latin America,,,,,,,,
Bahrain,..,Arab States,,,,,,,,
Bangladesh,2016,Asia & Pacific,32.4,21.4,26.8,41.4,3.7,8.6,12.4,16.1
Barbados,..,South/Latin America,,,,,,,,
Belarus,2018,Europe,25.2,22.3,21.4,35.5,4.3,10.1,14.4,17.8
Belgium,2017,Europe,27.4,22.7,21.9,36.3,3.3,8.7,14.2,18.1
Belize,1999,South/Latin America,53.3,19.4,42.4,57.7,0.9,3.2,7.7,12
Benin,2015,Africa,47.8,20.8,37.6,52.1,1,3.2,9.6,14.2
Bermuda,..,South/Latin America,,,,,,,,
Bhutan,2017,Asia & Pacific,37.4,22.7,27.9,44.4,2.7,6.7,10.8,15.5
Bolivia,2018,South/Latin America,42.2,22.9,30.4,47.2,1.5,4.6,10.1,15.3
Bosnia and Herzegovina,2011,Europe,33,22.9,25.1,40.7,2.9,7.5,12.3,16.7
Botswana,2015,Africa,53.3,19.5,41.5,58.5,1.5,3.9,7,11.1
Brazil,2018,South/Latin America,53.9,19.2,42.5,58.4,1,3.1,7.3,12
Brunei Darussalam,..,Asia & Pacific,,,,,,,,
Bulgaria,2017,Europe,40.4,21.3,31.9,46.6,1.9,5.7,11,15.4
Burkina Faso,2014,Africa,35.3,20.6,29.6,44.3,3.6,8.3,11.7,15
Burundi,2013,Africa,38.6,20.8,31,46.3,2.8,6.9,11,15
Cambodia,..,Asia & Pacific,,,,,,,,
Cameroon,2014,Africa,46.6,21.6,35,51.7,1.7,4.5,8.5,13.7
Canada,2017,North America,33.3,22.9,25.3,40.6,2.7,7.1,12.4,17
Cabo Verde,2015,Africa,42.4,21.6,32.3,48.7,2.2,5.7,9.7,14.3
Cayman Islands,..,South/Latin America,,,,,,,,
Central African Republic,2008,Africa,56.2,17.7,46.2,60.8,1.2,3.3,7,11.1
Chad,2011,Africa,43.3,21.8,32.4,48.8,1.8,4.9,9.7,14.8
Channel Islands,..,Europe,,,,,,,,
Chile,2017,South/Latin America,44.4,19.7,36.3,51.3,2.3,5.8,9.7,13.6
