Country,Area,Region
Afghanistan,Global South,Asia & Pacific
Aland Islands,Global North,Europe
Albania,Global North,Europe
Algeria,Global South,Arab States
American Samoa,Global South,Asia & Pacific
Andorra,Global North,Europe
Angola,Global South,Africa
Anguilla,Global South,South/Latin America
Antarctica,Global South,Asia & Pacific
Antigua and Barbuda,Global South,South/Latin America
Argentina,Global South,South/Latin America
Armenia,Global North,Europe
Aruba,Global South,South/Latin America
Australia,Global North,Asia & Pacific
Austria,Global North,Europe
Azerbaijan,Global North,Asia & Pacific
Bahamas,Global South,South/Latin America
Bahrain,Global South,Arab States
Bangladesh,Global South,Asia & Pacific
Barbados,Global South,South/Latin America
Belarus,Global North,Europe
Belgium,Global North,Europe
Belize,Global South,South/Latin America
Benin,Global South,Africa
Bermuda,Global South,South/Latin America
Bhutan,Global South,Asia & Pacific
Bolivia,Global South,South/Latin America
Bosnia and Herzegovina,Global North,Europe
Botswana,Global South,Africa
Bouvet Island,Global South,South/Latin America
Brazil,Global South,South/Latin America
British Indian Ocean Territory,Global South,Asia & Pacific
Brunei Darussalam,Global South,Asia & Pacific
Bulgaria,Global North,Europe
Burkina Faso,Global South,Africa
Burundi,Global South,Africa
Cabo Verde,Global South,Africa
Cambodia,Global South,Asia & Pacific
Cameroon,Global South,Africa
Canada,Global North,North America
Cape Verde,Global South,Africa
Cayman Islands,Global South,South/Latin America
Central African Republic,Global South,Africa
Chad,Global South,Africa
Channel Islands,Global North,Europe
Chile,Global South,South/Latin America
China,Global South,Asia & Pacific
Christmas Island,Global South,Asia & Pacific
Cocos (Keeling) Islands,Global South,Asia & Pacific
Colombia,Global South,South/Latin America
Comoros,Global South,Arab States
Congo,Global South,Africa
"Congo, The Democratic Republic of the",Global South,Africa
Cook Islands,Global South,Asia & Pacific
Costa Rica,Global South,South/Latin America
Côte d'Ivoire,Global South,Africa
Croatia,Global North,Europe
Cuba,Global South,South/Latin America
Curacao,Global South,South/Latin America
Cyprus,Global North,Europe
Czech Republic,Global North,Europe
Denmark,Global North,Europe
Djibouti,Global South,Arab States
Dominica,Global South,South/Latin America
Dominican Republic,Global South,South/Latin America
Ecuador,Global South,South/Latin America
Egypt,Global South,Middle east
El Salvador,Global South,South/Latin America
Equatorial Guinea,Global South,Africa
Eritrea,Global South,Africa
Estonia,Global North,Europe
Eswatini,Global South,Africa
Ethiopia,Global South,Africa
Falkland Islands (Malvinas),Global South,South/Latin America
Faroe Islands,Global North,Europe
Fiji,Global South,Asia & Pacific
Finland,Global North,Europe
France,Global North,Europe
"France, Metropolitan",Global North,Europe
French Guiana,Global South,South/Latin America
French Polynesia,Global South,Asia & Pacific
French Southern Territories,Global South,Asia & Pacific
Gabon,Global South,Africa
Gambia,Global South,Africa
Georgia,Global North,Europe
Germany,Global North,Europe
Ghana,Global South,Africa
Gibraltar,Global North,Europe
Greece,Global North,Europe
Greenland,Global North,Europe
Grenada,Global South,South/Latin America
Guadeloupe,Global South,South/Latin America
Guam,Global South,Asia & Pacific
Guatemala,Global South,South/Latin America
Guernsey,Global North,Europe
Guinea,Global South,Africa
Guinea-Bissau,Global South,Africa
Guyana,Global South,South/Latin America
Haiti,Global South,South/Latin America
Heard Island and McDonald Islands,Global South,Asia & Pacific
Holy See (Vatican City State),Global North,Europe
